length,mfe,loops,loop_length,gc,loop_gc,stem_length,longest_stem,bulges,longest_bulge,bulges_symmetric,bulges_asymmetric,stem_mismatches,A(((,A((.,A(..,A(.(,A.((,A.(.,A..(,A...,G(((,G((.,G(..,G(.(,G.((,G.(.,G..(,G...,T(((,T((.,T(..,T(.(,T.((,T.(.,T..(,T...,C(((,C((.,C(..,C(.(,C.((,C.(.,C..(,C...
69,-33.70000076293945,1,13,50.72463768115942,53.84615384615385,25,11,2,2,2,0,21,4,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,1,0,0,2,2
97,-50.400001525878906,1,3,50.51546391752577,0.0,39,17,5,4,0,5,32,4,0,0,1,0,0,0,0,6,0,1,1,0,0,0,1,5,2,1,0,1,0,0,0,6,0,1,0,1,0,0,1
88,-38.900001525878906,1,6,46.590909090909086,50.0,33,10,5,3,1,4,31,3,0,1,0,2,0,1,0,4,2,0,0,2,0,0,0,4,1,1,0,0,0,2,0,4,0,0,0,1,0,0,1
94,-42.70000076293945,1,8,50.0,62.5,31,9,6,1,4,2,27,3,1,0,1,1,0,0,2,2,0,0,0,2,0,1,1,4,1,0,2,0,0,1,1,3,3,0,1,0,0,0,1
84,-36.0,1,4,44.047619047619044,25.0,31,8,5,4,3,2,26,2,0,0,0,2,0,1,0,2,0,0,0,2,0,0,0,4,2,1,0,0,0,2,1,5,1,1,2,0,0,0,0
81,-29.700000762939453,1,3,43.20987654320987,33.33333333333333,32,8,7,2,5,2,27,1,0,0,1,1,0,0,0,4,1,0,2,1,0,0,0,2,0,1,0,2,0,0,1,7,1,0,0,1,0,1,0
81,-29.5,1,5,46.913580246913575,40.0,32,11,6,3,2,4,26,4,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,3,2,0,2,1,0,0,1,2,0,0,3,0,0,1,0
109,-34.0,1,16,38.53211009174312,25.0,34,10,5,3,3,2,24,4,2,0,1,0,0,1,4,3,3,0,0,1,0,0,1,5,0,0,1,2,0,1,1,2,0,0,1,1,0,0,2
95,-38.599998474121094,1,5,53.68421052631579,20.0,31,9,6,5,3,3,27,2,2,1,0,0,0,0,1,3,1,0,0,2,0,1,1,3,0,0,0,0,0,0,0,6,2,1,0,1,0,1,3
68,-37.900001525878906,1,7,60.29411764705882,85.71428571428571,25,12,4,1,2,2,19,1,0,0,1,0,0,0,0,5,0,1,0,1,0,1,0,2,1,0,2,0,0,0,2,4,0,0,0,1,0,0,0
