length,mfe,loops,loop_length,gc,loop_gc,stem_length,longest_stem,bulges,longest_bulge,bulges_symmetric,bulges_asymmetric,stem_mismatches,A(((,A((.,A(..,A(.(,A.((,A.(.,A..(,A...,G(((,G((.,G(..,G(.(,G.((,G.(.,G..(,G...,T(((,T((.,T(..,T(.(,T.((,T.(.,T..(,T...,C(((,C((.,C(..,C(.(,C.((,C.(.,C..(,C...
81,-36.099998474121094,1,6,60.49382716049383,50.0,26,6,5,4,2,3,19,1,0,0,0,0,0,0,1,4,3,0,0,1,0,0,0,2,0,1,1,1,0,3,2,3,1,0,0,2,0,0,1
81,-26.200000762939453,1,8,50.617283950617285,25.0,25,9,5,7,1,4,18,4,0,0,1,0,0,1,4,1,1,0,0,1,0,0,1,4,0,0,0,1,0,0,2,2,1,0,2,1,0,0,0
76,-21.399999618530273,1,8,47.368421052631575,37.5,24,6,6,4,2,4,18,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,6,0,1,0,1,0,0,2,2,1,2,1,2,0,0,1
76,-17.700000762939453,1,7,46.05263157894737,71.42857142857143,23,6,5,5,3,2,21,2,0,0,2,1,0,0,0,0,1,0,0,0,0,1,2,4,1,0,0,3,0,0,2,1,1,0,0,3,0,0,1
76,-8.100000381469727,1,14,39.473684210526315,28.57142857142857,14,6,2,16,1,1,13,1,0,0,0,1,0,0,7,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,3,0,1,0,0,0,0,4
79,-14.399999618530273,1,3,39.24050632911392,33.33333333333333,22,5,5,4,4,1,21,0,3,0,0,0,0,0,1,1,0,0,0,3,0,1,0,5,1,1,1,1,0,0,2,1,0,1,1,0,0,0,3
79,-23.200000762939453,1,7,51.89873417721519,57.14285714285714,23,8,4,8,3,1,16,2,0,2,0,0,0,1,4,2,0,0,0,1,0,0,1,1,2,0,1,1,0,1,0,5,0,0,0,1,0,0,1
93,-23.899999618530273,1,9,48.38709677419355,44.44444444444444,24,8,4,12,2,2,20,4,1,0,1,0,0,1,5,2,2,1,0,0,0,0,1,3,0,0,1,0,0,2,1,1,1,0,0,1,0,0,3
52,-13.0,1,8,50.0,25.0,11,6,2,1,1,1,10,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,2,0,0,3
64,-9.100000381469727,1,8,42.1875,62.5,17,6,4,4,2,2,13,4,0,2,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,2,0,0,2
84,-23.5,1,9,54.761904761904766,44.44444444444444,25,6,6,4,3,3,18,2,0,1,0,1,1,0,0,3,0,0,1,1,0,0,1,3,0,1,0,1,0,1,3,2,1,1,1,1,0,1,1
84,-24.200000762939453,1,8,46.42857142857143,37.5,23,7,5,6,3,2,19,2,0,0,0,1,0,0,7,2,2,1,0,0,0,0,1,4,1,0,2,0,0,0,0,2,0,0,0,1,1,0,1
75,-18.200000762939453,1,18,46.666666666666664,38.88888888888889,17,6,3,2,1,2,11,1,0,3,0,0,0,0,1,4,0,0,0,1,0,0,1,1,0,1,0,0,0,1,8,3,0,0,0,0,0,0,0
75,-13.600000381469727,1,9,37.333333333333336,66.66666666666666,20,5,4,4,3,1,19,2,1,0,0,2,0,0,1,2,1,0,0,0,0,0,2,3,3,0,0,1,0,0,2,1,0,0,0,0,0,0,4
62,-15.399999618530273,1,9,54.83870967741935,44.44444444444444,13,7,1,3,0,1,8,2,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,3
